Loan_ID,Application_Date,Age,Gender,Region,Annual_Income,Employment_Years,Home_Ownership,Education,Loan_Purpose,Credit_Score,Previous_Defaults,Loan_Amount_Requested,Application_Status,Funded_Amount,Interest_Rate,Loan_Term_Months,Loan_Status,Loan_Quality,Total_Received,Total_Interest_Received
LN100000,10-05-2024,62,Male,South,80300,10,OWN,Master's,Debt Consolidation,555,0,7600,Approved,6910,12.68,36,Charged Off,Bad Loan,1141.52,72.37
LN100001,10-11-2024,37,Male,Central,53900,6,MORTGAGE,Master's,Business,487,0,12100,Rejected,0,,48,Not Funded,N/A,0,0
LN100002,02-05-2022,35,Female,North,44100,29,MORTGAGE,High School,Home Improvement,338,0,12400,Rejected,0,,12,Not Funded,N/A,0,0
LN100003,12-04-2023,38,Female,Central,56900,1,RENT,Bachelor's,Education,779,0,13700,Approved,12050,4.87,60,Fully Paid,Good Loan,12050,293.42
LN100004,27-11-2022,43,Female,West,62200,29,MORTGAGE,High School,Personal,626,0,26000,Approved,25650,11.18,12,Current,Good Loan,12489.17,698.14
LN100005,29-03-2022,50,Female,West,43900,3,RENT,High School,Home Improvement,429,0,30000,Rejected,0,,60,Not Funded,N/A,0,0
LN100006,21-05-2024,54,Female,North,38400,13,RENT,Master's,Education,362,0,20900,Rejected,0,,24,Not Funded,N/A,0,0
LN100007,11-05-2022,24,Male,East,67100,12,RENT,PhD,Car,396,0,24800,Rejected,0,,36,Not Funded,N/A,0,0
LN100008,09-02-2024,23,Male,East,57100,24,MORTGAGE,Master's,Debt Consolidation,711,0,32700,Approved,31040,9.22,48,Fully Paid,Good Loan,31040,1430.94
LN100009,10-12-2022,27,Male,East,40400,12,MORTGAGE,High School,Car,829,0,40000,Approved,35410,5.42,60,Fully Paid,Good Loan,35410,959.61
LN100010,16-03-2024,38,Female,West,35500,12,MORTGAGE,Master's,Debt Consolidation,745,0,18800,Approved,18100,9.19,48,Fully Paid,Good Loan,18100,831.7
LN100011,21-01-2023,62,Female,East,63400,5,MORTGAGE,Master's,Business,535,0,37500,Rejected,0,,12,Not Funded,N/A,0,0
LN100012,13-08-2024,27,Male,Central,22900,25,RENT,Master's,Personal,384,0,20100,Rejected,0,,24,Not Funded,N/A,0,0
LN100013,04-10-2022,60,Male,South,48200,13,RENT,Master's,Personal,654,0,31500,Approved,30050,10.18,12,Charged Off,Bad Loan,1317.33,67.05
